Sector_score,Score_A,Risk_A,Score_B.1,District_Loss,Prob,Score,Inherent_Risk,CONTROL_RISK,Risk
3.41,0.4,0.576,0.2,2,0.2,3.8,40.604,0.4,1
3.41,0.4,0.608,0.4,2,0.2,4.2,63.826,0.4,1
3.41,0.6,2.178,0.2,2,0.2,3.0,7.974,0.4,1
3.41,0.4,0.54,0.4,2,0.6,4.6,61.028,2.2,1
3.41,0.6,5.982,0.2,2,0.2,4.0,66.782,0.4,1
3.41,0.4,0.564,0.2,2,0.2,4.2,32.29,1.2,1
3.41,0.4,0.792,0.4,2,0.4,4.4,55.812,0.8,1
3.41,0.6,6.048,0.4,2,0.2,4.4,32.126,0.4,1
3.41,0.4,0.576,0.6,2,0.2,4.0,14.754,0.4,1
3.41,0.6,15.24,0.2,6,0.6,4.8,57.286,2.4,1
3.41,0.6,1.926,0.2,6,0.4,4.6,56.042,1.6,1
3.41,0.6,7.368,0.2,2,0.4,4.2,27.636,0.8,1
3.41,0.6,4.158,0.2,2,0.2,3.8,51.606,0.4,1
3.41,0.6,2.004,0.2,2,0.2,4.0,42.128,0.4,1
3.41,0.6,9.396,0.2,2,0.2,4.0,72.956,0.4,1
3.41,0.6,1.752,0.2,2,0.2,3.2,9.152,0.4,1
3.41,0.2,0.166,0.2,2,0.2,3.6,26.388,0.4,1
3.41,0.4,0.788,0.2,2,0.2,3.4,20.474,0.4,1
3.41,0.6,6.0,0.2,2,0.2,3.8,39.22,0.4,1
3.41,0.6,7.836,0.2,2,0.2,4.0,42.728,0.4,1
3.41,0.4,0.54,0.4,2,0.2,4.2,35.462,0.4,1
3.41,0.6,2.478,0.2,2,0.2,4.0,40.334,0.4,1
3.41,0.6,7.572,0.4,4,0.2,4.6,84.726,0.8,1
3.41,0.6,9.816,0.2,4,0.2,4.2,43.494,0.8,1
3.41,0.6,7.608,0.4,2,0.2,4.4,41.936,0.4,1
3.41,0.6,7.038,0.2,2,0.4,4.0,63.144,0.8,1
3.41,0.6,3.09,0.4,2,0.2,4.4,45.134,0.4,1
3.41,0.6,3.966,0.2,2,0.2,4.2,73.434,0.8,1
3.41,0.6,4.818,0.4,2,0.6,4.8,71.666,1.6,1
3.41,0.4,0.484,0.2,2,0.2,3.6,24.446,0.4,1
3.41,0.4,0.656,0.2,2,0.2,3.4,30.272,0.4,1
3.41,0.4,0.484,0.4,2,0.2,4.2,48.354,0.4,1
3.41,0.4,0.44,0.4,2,0.2,4.2,76.258,0.4,1
3.41,0.6,2.502,0.2,2,0.2,3.6,19.372,0.4,1
3.41,0.4,0.432,0.2,2,0.2,3.6,24.81,0.4,1
3.41,0.6,7.374,0.2,2,0.2,4.2,37.878,0.8,1
3.41,0.6,7.524,0.2,2,0.2,4.0,60.338,0.4,1
3.41,0.6,10.356,0.2,2,0.4,4.2,55.296,0.8,1
3.41,0.4,0.46,0.6,2,0.2,4.6,29.39,0.4,1
3.41,0.6,12.024,0.2,2,0.2,4.0,49.418,0.4,1
3.41,0.6,7.302,0.6,2,0.2,4.8,45.586,0.4,1
3.41,0.6,5.802,0.4,2,0.2,4.4,55.964,0.4,1
3.41,0.6,2.262,0.2,2,0.2,4.0,38.978,0.4,1
3.41,0.6,2.838,0.2,2,0.2,4.0,82.226,0.4,1
3.41,0.6,3.786,0.4,2,0.2,4.4,26.366,0.4,1
3.41,0.6,3.366,0.2,2,0.2,2.4,5.884,0.4,1
3.41,0.6,3.132,0.2,2,0.2,3.6,17.584,0.4,1
3.41,0.2,0.062,0.2,2,0.2,3.8,84.122,0.8,1
3.41,0.6,1.716,0.4,2,0.2,4.2,17.322,0.4,1
3.41,0.6,9.918,0.2,2,0.4,4.0,57.708,0.8,1
3.41,0.6,1.62,0.2,2,0.2,4.0,52.79,0.4,1
3.41,0.6,1.848,0.2,2,0.2,3.6,39.788,0.4,1
3.41,0.6,1.2,0.2,2,0.4,4.2,69.042,0.8,1
3.41,0.4,0.428,0.2,2,0.2,2.6,7.84,0.4,1
3.41,0.4,0.428,0.2,6,0.2,2.6,2.628,1.2,1
3.41,0.4,0.404,0.2,2,0.2,2.2,1.804,0.4,0
3.41,0.2,0.186,0.2,2,0.2,2.0,1.586,0.4,0
3.41,0.6,2.406,0.2,2,0.2,2.4,3.806,0.4,0
3.41,0.2,0.154,0.2,2,0.2,2.0,1.618,0.4,0
3.41,0.4,0.42,0.2,2,0.2,2.2,1.82,0.4,0
3.41,0.4,0.404,0.2,2,0.2,2.2,1.86,0.4,0
3.41,0.2,0.182,0.2,2,0.2,2.0,1.582,0.4,0
3.41,0.4,0.448,0.2,2,0.2,2.2,1.848,0.4,0
3.41,0.2,0.16,0.2,2,0.2,2.0,1.596,0.4,0
3.41,0.2,0.13,0.2,2,0.2,2.0,1.53,0.4,0
3.41,0.2,0.126,0.2,2,0.2,2.0,1.526,0.4,0
3.41,0.2,0.086,0.2,2,0.2,2.0,1.486,0.4,0
3.41,0.4,0.484,0.2,2,0.2,2.2,1.884,0.4,0
3.41,0.2,0.034,0.2,2,0.2,2.0,1.434,0.4,0
3.41,0.2,0.0,0.2,4,0.2,2.2,1.8,0.8,0
3.41,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
3.41,0.2,0.014,0.2,2,0.2,2.0,1.414,0.4,0
2.72,0.6,3.066,0.6,2,0.6,5.2,69.658,1.6,1
2.72,0.6,1.476,0.2,2,0.2,3.0,5.564,0.4,1
2.72,0.6,2.43,0.4,2,0.2,4.4,29.096,0.4,1
2.72,0.6,1.686,0.2,2,0.2,2.6,7.382,0.4,1
2.72,0.6,2.658,0.4,2,0.2,4.4,65.93,0.4,1
2.72,0.6,2.088,0.2,2,0.2,3.8,18.01,0.4,1
2.72,0.6,2.172,0.2,2,0.2,4.0,56.942,0.4,1
2.72,0.6,2.604,0.2,2,0.2,3.6,19.166,0.4,1
2.72,0.6,2.172,0.2,2,0.2,3.0,6.92,0.4,1
2.72,0.6,1.866,0.4,2,0.2,4.4,88.832,0.4,1
2.72,0.4,0.66,0.2,2,0.2,3.8,24.722,0.4,1
2.72,0.6,2.058,0.2,2,0.2,2.4,3.764,0.4,0
2.72,0.6,2.304,0.2,2,0.2,4.0,70.646,0.4,1
2.72,0.6,4.452,0.6,2,0.4,4.8,81.09,0.8,1
2.72,0.6,4.242,0.2,2,0.2,3.8,30.434,0.4,1
2.72,0.6,1.956,0.2,6,0.2,3.4,6.418,1.2,1
2.72,0.6,3.3,0.2,2,0.2,4.0,69.218,0.4,1
2.72,0.4,0.76,0.6,2,0.2,4.6,35.798,0.4,1
2.72,0.6,2.1,0.2,2,0.2,3.8,15.166,0.4,1
2.72,0.4,0.584,0.2,2,0.2,2.2,2.156,0.4,0
2.72,0.6,2.76,0.2,2,0.2,4.0,45.614,0.4,1
2.72,0.6,2.106,0.2,2,0.2,3.6,36.092,0.4,1
2.72,0.6,3.39,0.6,2,0.2,4.8,64.024,0.4,1
2.72,0.4,0.532,0.2,2,0.2,2.2,2.002,0.4,0
2.72,0.6,3.27,0.4,2,0.2,4.4,84.032,0.4,1
2.72,0.4,0.692,0.2,2,0.2,3.2,12.358,0.4,1
2.72,0.6,1.932,0.2,2,0.2,4.2,85.596,0.8,1
2.72,0.6,1.446,0.2,4,0.2,3.4,8.938,0.8,1
2.72,0.4,0.7,0.2,4,0.2,2.4,2.614,0.8,1
2.72,0.6,1.308,0.2,4,0.2,4.0,23.914,0.8,1
2.72,0.6,1.956,0.6,4,0.2,3.8,19.878,0.8,1
2.72,0.6,2.34,0.2,2,0.2,4.0,49.052,0.4,1
2.72,0.6,1.314,0.2,2,0.2,2.8,19.89,0.4,1
2.72,0.4,0.624,0.2,2,0.2,3.2,23.462,0.4,1
2.72,0.6,2.982,0.4,2,0.2,4.4,58.118,0.4,1
2.72,0.6,1.278,0.2,2,0.2,2.4,2.948,0.4,0
2.72,0.6,2.196,0.2,2,0.2,3.6,13.164,0.4,1
2.72,0.4,0.656,0.2,2,0.2,2.2,2.412,0.4,0
2.72,0.6,3.408,0.2,2,0.4,4.2,97.656,0.8,1
2.72,0.6,2.394,0.2,2,0.4,4.2,68.508,0.8,1
2.72,0.6,2.082,0.2,2,0.2,4.0,50.552,0.4,1
2.72,0.6,1.608,0.2,2,0.2,3.8,28.868,0.4,1
2.72,0.6,1.278,0.2,2,0.2,4.0,39.206,0.4,1
2.72,0.6,2.616,0.4,6,0.2,4.8,29.986,2.4,1
2.72,0.6,1.338,0.2,6,0.2,3.2,18.126,1.2,1
2.72,0.6,1.2,0.2,2,0.2,2.6,4.812,0.4,0
2.72,0.6,1.824,0.6,2,0.2,4.8,93.028,0.4,1
2.72,0.4,0.476,0.2,2,0.2,3.8,84.238,0.4,1
2.72,0.4,0.456,0.2,2,0.2,2.2,1.998,0.4,0
2.72,0.4,0.604,0.2,2,0.2,2.2,2.004,0.4,0
2.72,0.4,0.452,0.2,2,0.2,2.2,1.852,0.4,0
2.72,0.4,0.6,0.2,2,0.2,2.2,2.288,0.4,0
2.72,0.2,0.192,0.2,2,0.2,2.0,1.592,0.4,0
2.72,0.4,0.64,0.2,2,0.2,2.2,2.04,0.4,0
2.72,0.4,0.536,0.2,4,0.2,2.4,2.336,0.8,0
2.72,0.4,0.64,0.2,2,0.2,2.2,2.052,0.4,0
2.72,0.4,0.452,0.2,2,0.2,2.2,1.856,0.4,0
2.72,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
2.72,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
2.72,0.2,0.154,0.2,2,0.2,2.0,2.474,0.4,0
2.72,0.4,0.42,0.2,2,0.2,2.2,1.82,0.4,0
2.72,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
2.72,0.2,0.0,0.2,2,0.2,2.4,19.91,0.4,1
2.72,0.2,0.0,0.2,4,0.2,2.2,1.8,0.8,0
2.72,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
2.72,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
2.72,0.2,0.168,0.2,2,0.2,2.2,4.852,0.4,0
2.72,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
2.72,0.2,0.17,0.2,2,0.2,2.0,1.57,0.4,0
2.72,0.2,0.0,0.2,2,0.2,2.0,1.456,0.4,0
2.72,0.2,0.122,0.2,2,0.2,2.0,1.536,0.4,0
2.72,0.2,0.0,0.2,2,0.2,2.0,1.524,0.4,0
2.37,0.6,2.058,0.4,2,0.4,4.2,35.444,1.2,1
2.37,0.4,0.652,0.2,2,0.2,3.4,6.306,0.4,1
2.37,0.6,2.25,0.6,6,0.2,4.6,14.3,1.2,1
2.37,0.6,1.374,0.2,2,0.2,3.6,4.974,0.4,0
2.37,0.6,1.326,0.2,2,0.2,3.6,6.538,0.4,1
2.37,0.6,1.332,0.2,2,0.2,3.6,6.648,0.4,1
2.37,0.4,0.668,0.2,2,0.2,2.2,2.432,0.4,0
2.37,0.6,1.554,0.2,2,0.2,2.4,3.342,0.4,0
2.37,0.6,1.434,0.2,2,0.4,4.0,10.034,0.8,1
2.37,0.6,2.052,0.2,2,0.2,3.8,12.566,0.4,1
2.37,0.6,2.166,0.2,2,0.6,4.4,8.608,2.0,1
2.37,0.4,0.744,0.2,2,0.2,3.6,7.758,0.4,1
2.37,0.4,0.76,0.2,2,0.4,3.8,10.782,0.8,1
2.37,0.6,1.974,0.2,2,0.2,3.6,7.952,0.4,1
2.37,0.6,1.56,0.2,2,0.4,3.4,7.32,0.8,1
2.37,0.6,2.286,0.2,4,0.2,3.8,11.648,0.8,1
2.37,0.6,1.26,0.2,2,0.2,3.8,7.86,0.4,1
2.37,0.6,1.332,0.2,2,0.4,4.2,20.94,0.8,1
2.37,0.2,0.192,0.2,2,0.2,2.0,1.66,0.4,0
2.37,0.2,0.162,0.2,2,0.2,3.2,4.686,0.4,0
2.37,0.4,0.5,0.2,2,0.2,2.2,2.068,0.4,0
2.37,0.4,0.66,0.2,2,0.2,2.6,18.858,0.4,1
2.37,0.4,0.66,0.2,2,0.2,2.2,2.558,0.4,0
2.37,0.6,1.278,0.2,2,0.2,2.6,5.716,0.4,1
2.37,0.2,0.088,0.2,6,0.2,2.8,18.552,1.2,1
2.37,0.4,0.524,0.4,6,0.2,3.0,3.948,1.2,1
2.37,0.2,0.078,0.2,2,0.2,2.0,1.622,0.4,0
2.37,0.4,0.4,0.2,2,0.2,2.8,2.24,0.4,0
2.37,0.2,0.084,0.2,2,0.2,2.0,1.538,0.4,0
2.37,0.4,0.428,0.2,2,0.2,2.2,1.946,0.4,0
2.37,0.4,0.516,0.2,2,0.2,2.2,1.966,0.4,0
2.37,0.2,0.004,0.2,2,0.2,2.0,1.586,0.4,0
2.37,0.4,0.584,0.2,2,0.2,2.2,2.228,0.4,0
2.37,0.2,0.168,0.2,2,0.2,2.0,1.724,0.4,0
2.37,0.2,0.132,0.2,4,0.2,2.8,2.648,0.8,1
2.37,0.2,0.106,0.2,2,0.2,3.2,4.89,0.4,0
2.37,0.2,0.078,0.2,2,0.2,2.0,1.572,0.4,0
2.37,0.2,0.102,0.2,2,0.2,2.0,1.596,0.4,0
2.37,0.2,0.094,0.2,2,0.2,2.0,1.566,0.4,0
2.37,0.6,2.01,0.2,2,0.2,2.4,3.632,0.4,0
2.37,0.2,0.064,0.2,6,0.2,2.6,5.054,1.2,1
2.37,0.2,0.102,0.2,6,0.2,2.4,2.302,1.2,1
2.37,0.2,0.0,0.2,2,0.2,2.0,1.41,0.4,0
2.37,0.2,0.062,0.2,2,0.2,2.0,1.6,0.4,0
2.37,0.2,0.122,0.2,2,0.2,2.6,2.252,0.4,0
2.37,0.2,0.052,0.2,2,0.2,2.0,1.486,0.4,0
2.37,0.2,0.146,0.2,6,0.2,2.6,4.812,1.2,1
2.37,0.2,0.0,0.2,6,0.2,2.4,2.2,1.2,1
2.37,0.4,0.508,0.2,2,0.2,2.8,2.542,0.4,0
2.37,0.4,0.648,0.2,2,0.2,2.2,2.146,0.4,0
2.37,0.4,0.616,0.2,2,0.2,2.2,2.222,0.4,0
2.37,0.6,1.308,0.2,6,0.2,2.8,3.694,1.2,1
2.37,0.6,4.554,0.4,6,0.2,4.2,30.316,1.2,1
2.37,0.2,0.152,0.2,6,0.2,2.4,2.42,1.2,1
2.37,0.2,0.076,0.2,2,0.2,2.0,1.654,0.4,0
2.37,0.4,0.516,0.2,2,0.2,2.2,1.942,0.4,0
2.37,0.4,0.796,0.2,2,0.2,2.2,2.322,0.4,0
2.37,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
2.37,0.2,0.004,0.2,2,0.2,2.0,1.414,0.4,0
2.37,0.2,0.028,0.2,2,0.2,2.0,1.444,0.4,0
2.37,0.2,0.018,0.2,2,0.2,2.0,1.418,0.4,0
2.37,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
2.37,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
2.37,0.2,0.002,0.2,2,0.2,2.0,1.4034,0.4,0
2.37,0.2,0.034,0.2,2,0.2,2.0,1.442,0.4,0
2.37,0.4,0.664,0.2,6,0.2,2.6,3.092,1.2,1
2.37,0.2,0.1,0.2,6,0.2,2.4,2.308,1.2,1
2.37,0.2,0.18,0.2,6,0.2,2.4,2.682,1.2,1
2.37,0.2,0.0,0.2,6,0.2,2.4,2.246,1.2,1
1.99,0.2,0.116,0.2,2,0.2,2.0,1.516,0.4,0
1.99,0.4,0.608,0.2,2,0.2,2.4,4.792,0.4,0
1.99,0.2,0.18,0.2,2,0.2,2.0,1.97,0.4,0
1.99,0.4,0.476,0.2,2,0.2,2.2,1.876,0.4,0
1.99,0.2,0.106,0.2,2,0.2,2.0,1.972,0.4,0
1.99,0.2,0.186,0.2,2,0.2,2.0,1.608,0.4,0
1.99,0.4,0.756,0.2,2,0.2,2.2,2.156,0.4,0
1.99,0.4,0.684,0.2,2,0.2,2.2,2.102,0.4,0
1.99,0.2,0.06,0.2,2,0.2,2.0,1.46,0.4,0
1.99,0.2,0.152,0.2,2,0.2,2.2,4.544,0.4,0
1.99,0.2,0.192,0.2,2,0.2,2.2,5.372,0.4,1
1.99,0.4,0.504,0.2,2,0.2,2.2,1.904,0.4,0
1.99,0.2,0.11,0.2,2,0.2,2.0,1.644,0.4,0
1.99,0.2,0.058,0.2,2,0.2,2.0,1.47,0.4,0
1.99,0.4,0.508,0.2,2,0.2,2.2,2.462,0.4,0
1.99,0.4,0.536,0.2,2,0.2,2.2,1.936,0.4,0
1.99,0.2,0.112,0.2,2,0.2,2.0,1.862,0.4,0
1.99,0.2,0.172,0.2,6,0.2,2.4,2.372,1.2,1
1.99,0.4,0.648,0.2,6,0.2,2.6,2.848,1.2,1
1.99,0.6,1.812,0.2,6,0.2,2.8,4.012,1.2,1
1.99,0.2,0.118,0.2,6,0.2,2.4,2.318,1.2,1
1.99,0.4,0.44,0.2,2,0.2,2.2,1.84,0.4,0
1.99,0.4,0.412,0.2,2,0.2,2.6,18.18,0.4,1
1.99,0.2,0.132,0.2,2,0.2,2.0,1.678,0.4,0
1.99,0.2,0.096,0.2,2,0.2,2.0,1.59,0.4,0
1.99,0.2,0.086,0.2,2,0.2,2.4,9.61,0.4,1
1.99,0.4,0.66,0.2,2,0.2,2.2,2.062,0.4,0
1.99,0.4,0.56,0.2,2,0.2,2.2,1.96,0.4,0
1.99,0.4,0.456,0.2,2,0.2,2.6,26.948,0.4,1
1.99,0.2,0.09,0.2,2,0.2,2.0,1.49,0.4,0
1.99,0.2,0.12,0.2,2,0.2,2.0,1.52,0.4,0
1.99,0.2,0.17,0.2,2,0.2,2.0,1.57,0.4,0
1.99,0.4,0.476,0.2,2,0.2,2.6,19.732,0.4,1
1.99,0.4,0.492,0.2,2,0.2,2.2,1.914,0.4,0
1.99,0.4,0.448,0.2,2,0.2,2.2,1.858,0.4,0
1.99,0.4,0.612,0.2,4,0.2,2.4,2.418,0.8,0
1.99,0.2,0.154,0.2,4,0.2,2.2,1.954,0.8,0
1.99,0.2,0.112,0.2,4,0.2,2.2,1.912,0.8,0
1.99,0.4,0.728,0.2,4,0.2,2.8,53.606,0.8,1
1.99,0.2,0.088,0.2,4,0.2,2.2,1.896,0.8,0
1.99,0.4,0.584,0.2,2,0.2,2.2,1.984,0.4,0
1.99,0.4,0.448,0.2,2,0.2,2.6,8.436,0.4,1
1.99,0.4,0.624,0.2,2,0.2,2.2,2.044,0.4,0
1.99,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
1.99,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
1.85,0.6,2.22,0.2,2,0.2,2.4,3.644,0.4,0
1.85,0.6,5.118,0.2,2,0.2,2.6,7.054,0.8,1
1.85,0.2,0.094,0.2,2,0.2,2.6,2.378,0.4,0
1.85,0.2,0.19,0.2,4,0.2,2.8,2.536,0.8,1
1.85,0.6,7.89,0.2,4,0.2,3.2,10.58,0.8,1
1.85,0.6,1.902,0.2,4,0.2,2.6,3.79,0.8,1
1.85,0.6,4.212,0.2,4,0.2,3.2,6.72,0.8,1
1.85,0.2,0.0,0.2,2,0.2,2.0,1.4,0.4,0
1.85,0.2,0.19,0.2,4,0.2,2.4,2.816,1.6,1
1.85,0.2,0.0,0.2,4,0.2,2.6,8.118,0.8,1
1.85,0.6,5.514,0.2,2,0.2,3.6,9.538,0.4,1
1.85,0.6,5.484,0.2,6,0.2,3.4,8.172,1.2,1
1.85,0.2,0.052,0.2,2,0.2,2.0,1.452,0.4,0
1.85,0.6,1.83,0.2,2,0.2,2.4,3.24,0.4,0
1.85,0.2,0.112,0.2,2,0.2,3.2,44.814,0.4,1
1.85,0.6,1.776,0.2,2,0.2,2.4,3.206,0.4,0
